t=2025-11-28T17:47:12-0500 lvl=info msg="no configuration paths supplied"
t=2025-11-28T17:47:12-0500 lvl=info msg="using configuration at default config path" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-28T17:47:12-0500 lvl=info msg="open config file" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=67d9dc55001b l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=a69e7deee076 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=74816cc2643f l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=64054d9dd27e l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=9750bf71d950 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=076f6e062b37 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=4a436c4f5c71 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=fe2108987670 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=e0f693953dae l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=8f42e96cff3f l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=628c25d50433 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=3e4621b3d44a l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=d7aa058b4076 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:22-0500 lvl=info msg="join connections" obj=join id=609559a52790 l=[::1]:3050 r=99.131.53.219:52406
